,spotify_id,name,representative_text
138,3k68C6mNMJL6OaAdWeW2ZF,Diego & Victor Hugo,
139,7qhWa7UI1QNZNDnzYwAYZm,Vallis Alps,
140,2xaAOVImG2O6lURwqperlD,Catfish and the Bottlemen,
141,0L1f9i3L3fkMNENljDOsjG,Rocco Hunt,
142,1lYjAYTw1QBVxIwVrZ1eTy,ADDA,
143,5RZjpmuD14JKXvB8Ry1G1u,Amanda Seyfried,
144,3q1xAVcUquRc7oCZYLLIvZ,Brianna,
145,3QLMLmISoZnFxUdzSoT6JB,Gökhan Özen,
146,7CMzEHSpUYD3RLQ13kF7UM,Croupie,
147,54dqxLAclwu0QSaTwCyCaF,Neffa,
148,3iPdJaQD2j4rJXuDUmegE8,Mario,
149,5ELPejPzr90MkvmpQEr3RU,Phuong Linh,
150,73c2MjCAFNyKYIs7nBlqG2,Marisela,
151,4vIsAZx8AolYa6paJphDGY,Nirvair Pannu,
152,183DgO92lAqgpVVNKI7ZKF,Raj Ranjodh,
153,5GBXwBVQufRCmwI1bNRIUo,Only C,
154,3J7r4VsNmuWixU0nXvyPd8,Kalash,
155,2C0Cu6wbLYQyXl8MDwH2JE,Nathaniel,
156,2eRNMtoi82UZUuaL6naDjA,Cœur De Pirate,
157,0MZ55DwuMQ1B2TXq9lcrE4,Kraftklub,
158,1yzgJmZf5CxtFfGfRFm4Si,Gajendra Verma,
159,5GIcOzVFTNnzArytjmTkW8,Bizzey,
160,2DIegoHjgAlIc6HYGGbu4h,Sophie Chen,
161,39yVoqm6sYFvvqF1RciUVf,Carlos Rivera,
162,6ghiFYcwn2Vzl6K50U0UPz,Michael Ray,
163,36PxHmbx5QrRTpuCaw4FuV,Youngn Lipz,
164,1SN71xW3yOVbPgsGFBMXTZ,Csaknekedkislány,
165,4vhqcVj9Z97OmzOY9ha2Ho,Enero,
166,688ekAE2qdQA7jJbmqcXGL,yccc,
167,5aINmhPWfAHvZ5qaMdBezq,Amatria,
168,52kkq3LdnSafdKRWjNqKBw,Rotjoch,
169,3nEiRzdQNmkUgoknNt9IRu,Niklas Strömstedt,
170,6SGCqG5HEr5gFZR9ct8wID,Matías Valdez,
171,6y5amJcTjeDgLXIjtQLMst,SAYGRACE,
172,6KGWY3YSxi1rBESkloCZTo,Ezad Lazim,
173,5SVGhU7cTodC79weaAmjYy,Karetus,
174,4mYFgEjpQT4IKOrjOUKyXu,Wheatus,
175,78sIlhMniFgXlOrNWnPtIl,Tegi Pannu,
176,1S2S00lgLYLGHWA44qGEUs,Gen Hoshino,
177,4N20eqmDGVuWlXaS6PR00n,Janice Mangion,
178,4Sm7JCttzWMwHJtb3UJ8SY,Mocedades,
179,4KJ6jujcNPzOyhdNoiNftp,lovelytheband,
180,5lLVx3mMyUvZ9QKzM09CZa,Khrystyna Soloviy,
181,4HyBLptfM7nZhrcss4if7x,Ung Hoang Phuc,
182,6xF3XdxG7VHRmQmTJxRqX8,Manu Gavassi,
183,145zDAbvELoocgZ4bZrSXe,3 Composers,
184,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,
185,0GykMtlKoc68Hj2jwZLXul,Nosowska,
186,5ylOD196qui8JgXBrQUzok,Kyo,
187,57RYqNhEvaNiafuP1X73GS,Equalz,
188,2QslFlDyZVpLYwfqyRDkNs,Onur Can Özcan,
189,6zgklcaF5juoL4nx54Ohan,Bossy,
190,5yuHwiLMl8Mz5onBhn5HII,Peter Lundblad,
191,3USGrdyXkg1eLoWJ7KhrhJ,Adi Ulmansky,
192,3cjEqqelV9zb4BYE3qDQ4O,EXO,
193,3KNYn0ah22HXySPgPkMsrS,Eirikur Hauksson,
194,7rPv4DjafGL4EBCatx4t8U,Skaldowie,
195,4BgNISEfw70NKXHb9lIB8O,Iskrata,
196,0iwYda8PBVlR2xj8tPGpbm,Anni Lahe,
197,5Pq1eqKbVKRziJs6cSUoBy,La Joven Guardia,
198,4KWTAlx2RvbpseOGMEmROg,R.E.M.,
199,74YbW6s8CZdaYLxJU9HeS7,Mister You,
200,6YqdtpUutxodni6lUD4stM,WANIMA,
201,3cbd5GWGOknxmFAe77MDbk,ELLEGARDEN,
202,2vRJ1xr5DT4PdBnM63DBJZ,Ismo,
203,2HYZy1ndUbE1sJw9zfOaEB,呂薔Amuyi,
204,6arfS6PinvWKGyMd1AqgFI,Balqees,
205,1B0fCkXH620aujSMm3wIKS,Sura İskenderli,
206,3NRXKeatDxKe4apH6XawKX,DA PUMP,
207,1wak0ZG1LUrZPYx8RDTQoD,Noa Kirel,
208,19MVxKZZdPj2X0F8pi0OCT,Sukhwinder Singh,
209,28JPqJh7jsUuxus33Kfwe7,Joe Flizzow,
210,5TIgVeqYHwf9v56rySzVRw,William Last KRM,
211,6aHaYKL09sA8L260zXNlVR,andreas odbjerg,
212,33oY0RTyXAMYBM6QSImuo7,Mike 曾比特,
213,1Qx9W9TY2vPox7BS9urTlK,Lulu Huang Lu Zi Yin,
214,6HwRSGDwpltqE6T0xQF8Xu,Noa,
215,2UhQHcRXyVTc6IO0bFIRh3,DJ Abdel,
216,0AsThoR4KZSVktALiNcQwW,Chloe x Halle,
217,2Xlia1jlI7JDki4Xa42uyK,Phạm Nguyên Ngọc,
218,6vWDO969PvNqNYHIOW5v0m,Beyoncé,
219,2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,
220,5re6NsyXzHg6uvNimzQ3F6,Jota Quest,
221,6P5E47LG2XlrXhGu5Ia17x,S1sco,
222,40KlwpvpKEQtZTJgbml8lT,Teoman,
223,3KNIG74xSTc3dj0TRy7pGX,BLEU,
224,31czVneIywpUwJTNOVviJx,Sinan Akçıl,
225,4h8pGxEIOi7j4me1yhYxlD,LSP,
226,3ahVFszO9ucf8JQLCNQeYA,Anggun,
227,6SQ1V0fuKnQGrLYE37Q1n3,MIGI,
228,50Ok7VGw5P8rdEWulpTkGP,ATELLWULF,
229,2Cd98zHVdZeOCisc6Gi2sB,Technotronic,
230,6t41YgqHULlgOq9TK1kcrG,The Kiffness,
231,2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,
232,06nevPmNVfWUXyZkccahL8,Gregory Porter,
233,5hHcAWKNV84BEbkRnbQ6A7,Kensington,
234,0Je74SitssvJg1w4Ra2EK7,4 Non Blondes,
235,4y0wFJ5jmCUNRLZfsw1I7g,AB6IX,
236,77tySlfNCOSAhpjqD8Q8IL,Tøsedrengene,
237,19ra5tSw0tWufvUp8GotLo,George Michael,
238,1yKCQp9RVRzENoLUnsIQT5,Knock,
239,01UbHi56W0paf624zfVtYa,Sad Eye,
240,0A7CUcSt9ppPPZ82urqmX9,We,
241,6WOaBFTxwD7SMMT8ZRTYga,Senkise,
242,6GBIcdZ5aBhhsd7Y6c3O3g,SLAPKISS,
243,3X8viboyMAibq7WDRxqY4J,Anne Brændeland,
244,1z4o1fHqSUuL8pd9WdP6wF,Zigfrīds Muktupāvels,
245,3jNp263VZXVLzuznuLgghq,Khai Bahar,
246,6bguntfj9ZnX1lFvSYl72d,Numcha,
247,5CCwRZC6euC8Odo6y9X8jr,Rita Ora,
248,6YmUDCGfrpC4KXX7Dgz7Tp,Amarosis,
249,179XJA4Q2PPPkPbjPvSRt7,Ning Baizura,
250,4Rk73iQDoHfnOteViniXY1,Mihaela Marinova,
251,78TMykAte8FKWQ3f6cQBol,Point,
252,4zf0kIjnzqjWlI3Eaw5VlA,Stadio,
253,7zFBW2JxM4bgTTKxCRcS8Q,Hiphop Tamizha,
254,7n6JzP9GxGVVzXG0t0gLu3,Zhang Bichen,
255,2EsTolBYIEICM1kx7MGluy,Panos Kiamos,
256,3iTsJGG39nMg9YiolUgLMQ,Morrissey,
257,32x1uogH2zajP85pzZAtuE,Axel,
258,1Dd0DajYMxzu1Q6kuXLyJ3,Hoàng Yến Chibi,
259,0vr0zXChKgWdimahgBF8U4,Perkons,
